SEMESTER,MJD START,MJD END,PROGRAM,PI
2001A,52047.166666666664,52047.415972222225,2001A024,Alonso-Herrero
2001A,52047.415972222225,52047.666666666664,2001A084,Klassen
2001A,52048.166666666664,52048.415972222225,2001A024,Alonso-Herrero
2001A,52048.415972222225,52048.666666666664,2001A084,Klassen
2001A,52049.166666666664,52049.415972222225,2001A024,Alonso-Herrero
2001A,52049.415972222225,52049.666666666664,2001A084,Klassen
2001A,52050.166666666664,52050.666666666664,2001A015,Marion
2001A,52051.166666666664,52051.666666666664,2001A015,Marion
2001A,52052.166666666664,52052.666666666664,2001A048,Trilling
2001A,52053.166666666664,52053.666666666664,2001A048,Trilling
2001A,52054.166666666664,52054.666666666664,2001A048,Trilling
2001A,52055.166666666664,52055.666666666664,2001A052,McCabe
2001A,52056.166666666664,52056.666666666664,2001A052,McCabe
2001A,52057.166666666664,52057.666666666664,2001A052,McCabe
2001A,52058.208333333336,52058.458333333336,2001A999,Engineering
2001A,52058.458333333336,52058.708333333336,2001A067,Ousley
2001A,52059.208333333336,52059.458333333336,2001A999,Engineering
2001A,52059.458333333336,52059.708333333336,2001A067,Ousley
2001A,52060.208333333336,52060.458333333336,2001A999,Engineering
2001A,52060.458333333336,52060.708333333336,2001A067,Ousley
2001A,52061.166666666664,52061.666666666664,2001A999,Engineering
2001A,52062.166666666664,52062.666666666664,2001A999,Engineering
2001A,52063.166666666664,52063.666666666664,2001A082,Rayner
2001A,52064.166666666664,52064.666666666664,2001A082,Rayner
2001A,52065.166666666664,52065.666666666664,2001A082,Rayner
2001A,52066.166666666664,52066.666666666664,2001A082,Rayner
2001A,52067.166666666664,52067.666666666664,2001A033,Glenar
2001A,52068.166666666664,52068.666666666664,2001A033,Glenar
2001A,52069.166666666664,52069.666666666664,2001A033,Glenar
2001A,52070.166666666664,52070.666666666664,2001A999,Engineering
2001A,52071.166666666664,52071.666666666664,2001A078,Skillman
2001A,52072.166666666664,52072.666666666664,2001A078,Skillman
2001A,52073.166666666664,52073.666666666664,2001A102,Zhu
2001A,52074.166666666664,52074.666666666664,2001A102,Zhu
2001A,52075.166666666664,52075.666666666664,2001A102,Zhu
2001A,52076.166666666664,52076.666666666664,2001A039,Blake
2001A,52077.166666666664,52077.666666666664,2001A039,Blake
2001A,52078.166666666664,52078.666666666664,2001A050,Richter
2001A,52079.166666666664,52079.666666666664,2001A074,Lacy
2001A,52080.166666666664,52080.666666666664,2001A027,Bauer
2001A,52081.166666666664,52081.666666666664,2001A004,Binzel
2001A,52082.166666666664,52082.666666666664,2001A004,Binzel
2001A,52083.166666666664,52083.666666666664,2001A033,Glenar
2001A,52084.166666666664,52084.666666666664,2001A033,Glenar
2001A,52085.166666666664,52085.666666666664,2001A033,Glenar
2001A,52086.166666666664,52086.666666666664,2001A043,Evans
2001A,52087.166666666664,52087.666666666664,2001A043,Evans
2001A,52088.166666666664,52088.666666666664,2001A043,Evans
2001A,52089.166666666664,52089.666666666664,2001A037,Carr
2001A,52090.166666666664,52090.666666666664,2001A037,Carr
2001A,52091.166666666664,52091.666666666664,2001A020,Dinerstein
2001A,52092.166666666664,52092.666666666664,2001A020,Dinerstein
2001A,52093.166666666664,52093.666666666664,2001A073,Buie
2001A,52094.166666666664,52094.666666666664,2001A073,Buie
2001A,52095.166666666664,52095.666666666664,2001A073,Buie
2001A,52096.166666666664,52096.666666666664,2001A073,Buie
2001A,52097.166666666664,52097.666666666664,2001A073,Buie
2001A,52098.166666666664,52098.666666666664,2001A073,Buie
2001A,52099.166666666664,52099.666666666664,2001A019,Greene
2001A,52100.166666666664,52100.666666666664,2001A019,Greene
2001A,52101.166666666664,52101.666666666664,2001A019,Greene
