SEMESTER,MJD START,MJD END,PI,PROGRAM
2001A,52100.16667,52100.66667,Greene,2001A019
2001A,52101.16667,52101.66667,Vacca,2001A083
2001A,52102.16667,52102.66667,Vacca,2001A083
2001A,52103.16667,52103.41597,Glenar,2001A033
2001A,52103.41597,52103.66667,Mumma,2001A998
2001A,52104.16667,52104.41597,Glenar,2001A033
2001A,52104.41597,52104.66667,Mumma,2001A998
2001A,52105.16667,52105.29167,Engineering,2001A999
2001A,52105.29167,52105.41597,Glenar,2001A033
2001A,52105.41597,52105.66667,Mumma,2001A998
2001A,52106.16667,52106.66667,Engineering,2001A999
2001A,52107.16667,52107.66667,Ressler,2001A093
2001A,52108.16667,52108.66667,Ressler,2001A093
2001A,52109.16667,52109.66667,Ressler,2001A093
2001A,52110.16667,52110.66667,Gehrz,2001A080
2001A,52111.16667,52111.66667,Gehrz,2001A080
2001A,52112.16667,52112.66667,Gehrz,2001A080
2001A,52113.16667,52113.66667,Gehrz,2001A080
2001A,52114.25,52114.75,Carey,2001A086
2001A,52115.25,52115.75,Carey,2001A086
2001A,52116.25,52116.75,Carey,2001A086
2001A,52117.16667,52117.66667,Forrest,2001A107
2001A,52118.16667,52118.66667,Forrest,2001A107
2001A,52119.16667,52119.41597,Klassen,2001A084
2001A,52119.41597,52119.66667,Jones,2001A011
2001A,52120.16667,52120.41597,Klassen,2001A084
2001A,52120.41597,52120.66667,Jones,2001A011
2001A,52121.16667,52121.41597,Klassen,2001A084
2001A,52121.41597,52121.66667,Jones,2001A011
2001B,52122.16667,52122.66667,Engineering,2001B999
2001B,52123.16667,52123.66667,Kostiuk,2001B071
2001B,52124.16667,52124.66667,Kostiuk,2001B071
2001B,52125.16667,52125.66667,Kostiuk,2001B071
2001B,52126.16667,52126.41597,Rettig,2001B998
2001B,52126.41597,52126.66667,Engineering,2001B999
2001B,52127.16667,52127.41597,Rettig,2001B998
2001B,52127.41597,52127.60417,Engineering,2001B999
2001B,52127.8125,52127.83333,Orton,2001B001
2001B,52128.16667,52128.66667,Kelley,2001B072
2001B,52128.60417,52128.8125,Rathbun,2001B101
2001B,52128.8125,52128.83333,Orton,2001B001
2001B,52129.16667,52129.66667,Kelley,2001B072
2001B,52130.16667,52130.41597,Rettig,2001B998
2001B,52130.41597,52130.66667,Engineering,2001B999
2001B,52131.16667,52131.41597,Rettig,2001B998
2001B,52131.41597,52131.66667,Engineering,2001B999
2001B,52132.16667,52132.41597,Goto,2001B109
2001B,52132.41597,52132.66667,Marion,2001B067
2001B,52133.16667,52133.41597,Goto,2001B109
2001B,52133.41597,52133.66667,Marion,2001B067
2001B,52134.16667,52134.66667,Bus,2001B111
2001B,52135.16667,52135.66667,Bus,2001B111
2001B,52136.16667,52136.66667,Howell,2001B079
2001B,52137.16667,52137.66667,Howell,2001B079
2001B,52138.16667,52138.66667,Hammel,2001B036
2001B,52139.16667,52139.66667,Hammel,2001B036
2001B,52140.16667,52140.66667,Hammel,2001B036
2001B,52141.16667,52141.66667,Sasselov,2001B011
2001B,52142.16667,52142.66667,Sasselov,2001B011
2001B,52143.16667,52143.59722,Binzel,2001B028
2001B,52144.16667,52144.66667,Binzel,2001B028
